Top 500 latents with highest separation scores (ascending order):
Format: Latent_idx: Score (f_suffix, f_original)
475. Latent  533:  0.201 ( 0.403,  0.201)
476. Latent 1206:  0.201 ( 0.224,  0.022)
477. Latent 1328:  0.201 ( 0.205,  0.004)
478. Latent 1482:  0.201 ( 0.205,  0.004)
479. Latent  665:  0.198 ( 0.884,  0.687)
480. Latent   37:  0.198 ( 0.407,  0.209)
481. Latent  633:  0.198 ( 0.201,  0.004)
482. Latent  949:  0.198 ( 0.213,  0.015)
483. Latent 1443:  0.198 ( 0.437,  0.239)
484. Latent 1536:  0.198 ( 0.239,  0.041)
485. Latent 1609:  0.198 ( 0.235,  0.037)
486. Latent 1780:  0.198 ( 0.250,  0.052)
487. Latent 1197:  0.198 ( 0.228,  0.030)
488. Latent 1969:  0.198 ( 0.772,  0.575)
489. Latent  376:  0.194 ( 0.328,  0.134)
490. Latent 1917:  0.194 ( 0.198,  0.004)
491. Latent   94:  0.194 ( 0.384,  0.190)
492. Latent  454:  0.194 ( 0.243,  0.049)
493. Latent 1228:  0.194 ( 0.310,  0.116)
494. Latent 1286:  0.194 ( 0.690,  0.496)
495. Latent 1889:  0.194 ( 0.261,  0.067)
496. Latent  334:  0.190 ( 0.216,  0.026)
497. Latent  559:  0.190 ( 0.280,  0.090)
498. Latent  211:  0.190 ( 0.205,  0.015)
499. Latent  467:  0.190 ( 0.254,  0.063)
500. Latent 1248:  0.190 ( 0.261,  0.071)

Top 500 latents with lowest separation scores (descending order):
Format: Latent_idx: Score (f_suffix, f_original)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1. Latent  398: -0.795 ( 0.108,  0.903)
2. Latent 1231: -0.627 ( 0.067,  0.694)
3. Latent 1910: -0.507 ( 0.030,  0.537)
4. Latent  747: -0.481 ( 0.213,  0.694)
5. Latent  286: -0.418 ( 0.075,  0.493)
6. Latent  897: -0.414 ( 0.179,  0.593)
7. Latent 1632: -0.396 ( 0.104,  0.500)
8. Latent 1399: -0.384 ( 0.194,  0.578)
9. Latent 1247: -0.381 ( 0.142,  0.522)
